Age-Band (years),IFR (%) without Seroreversion (95% PI),IFR (%) with Seroreversion (95% PI),,,,,,
0-4,"0.00 (0.00, 0.03)","0.00 (0.00, 0.03)",,,,,,
5-9,"0.01 (0.00, 0.06)","0.01 (0.00, 0.06)",,,,,,
10-14,"0.01 (0.00, 0.11)","0.01 (0.00, 0.10)",,,,,,
15-19,"0.02 (0.00, 0.18)","0.02 (0.00, 0.17)",,,,,,
20-24,"0.03 (0.00, 0.3)","0.02 (0.00, 0.28)",,,,,,
25-29,"0.04 (0.00, 0.46)","0.04 (0.00, 0.44)",,,,,,
30-34,"0.06 (0.01, 0.71)","0.06 (0.01, 0.67)",,,,,,
35-39,"0.10 (0.01, 1.03)","0.09 (0.01, 0.98)",,,,,,
40-44,"0.16 (0.02, 1.47)","0.15 (0.02, 1.37)",,,,,,
45-49,"0.24 (0.03, 2.03)","0.23 (0.03, 1.88)",,,,,,
50-54,"0.38 (0.05, 2.74)","0.36 (0.05, 2.52)",,,,,,
55-59,"0.60 (0.10, 3.64)","0.57 (0.10, 3.32)",,,,,,
60-64,"0.94 (0.18, 4.79)","0.89 (0.18, 4.34)",,,,,,
65-69,"1.47 (0.35, 6.27)","1.39 (0.34, 5.64)",,,,,,
70-74,"2.31 (0.65, 8.21)","2.17 (0.64, 7.35)",,,,,,
75-79,"3.61 (1.21, 10.81)","3.39 (1.19, 9.65)",,,,,,
80-84,"5.66 (2.23, 14.37)","5.3 (2.19, 12.81)",,,,,,
85-89,"8.86 (4.06, 19.36)","8.28 (3.98, 17.25)",,,,,,
90+,"17.37 (9.7, 31.12)","16.19 (9.44, 27.78)",,,,,,
Overall (LIC),"0.23 (0.14, 0.42)","0.22 (0.14, 0.39)",,,,,,
Overall (LMIC),"0.4 (0.26, 0.67)","0.37 (0.25, 0.61)",,,,,,
Overall (UMIC),"0.61 (0.40, 0.99)","0.57 (0.38, 0.92)",,,,,,
Overall (HIC),"1.15 (0.78, 1.79)","1.06 (0.73, 1.64)",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
